일반차량 전일 월정기요금,주간 월정기요금,야간 월정기요금,주차요금 지불방식,총주차대수,주차상한제,자율요일제,수정일자,특기사항,야간개방사업여부,지원주차장설치여부,주차장사진매수,도면매수,일반인 개방여부,GIS링크,과거 GIS링크,JM_ISCHK,기타사항,메모,JM_SJ_CONT,JM_KJ_CONT,JM_N_STTIME,JM_N_EDTIME,JM_OPN_STTIME,JM_OPN_EDTIME,JM_OPH_STTIME,JM_OPH_EDTIME,JM_OPE_STTIME,JM_OPE_EDTIME,JM_IN_CHARGE,대시민표출주차면수,공유주차장 코드,위도,경도
-,-,-,-,8,N,0,2019-12-31 0:00,11260-10200-031-3-938513|상봉동 1산 190번지 207호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.59981277,127.0864245
-,-,-,-,2,N,0,2019-12-31 0:00,11260-10600-017-3-1028316|신내동 1산 331번지 46호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.615636,127.099102
-,-,-,-,3,N,0,2019-12-31 0:00,11260-10100-100-3-692794|면목동 1산 577번지 3호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.57863235,127.0898399
-,-,-,-,3,N,0,2019-12-31 0:00,11260-10400-013-3-1579511|묵동 1산 249번지 41호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60579306,127.075501
-,-,-,-,5,N,0,2019-12-31 0:00,11260-10300-026-3-1430344|중화동 1산 329번지 35호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60023076,127.0760804
-,-,-,-,3,N,0,2019-12-31 0:00,11260-10500-076-3-1422369|망우동 1산 412번지 37호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.5928816,127.0998041
-,-,-,-,9,N,0,2019-12-31 0:00,11260-10600-034-3-875110|신내동 1산 473번지 3호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60487477,127.0980472
-,-,-,-,7,N,0,2019-12-31 0:00,11260-10500-076-3-797200|망우동 1산 442번지 26호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.59072027,127.0980528
-,-,-,-,3,N,0,2019-12-31 0:00,11260-10400-005-3-880782|묵동 1산 237번지 113호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.61261735,127.0751602
-,-,-,-,3,N,0,2019-12-31 0:00,11260-10400-005-3-1426878|묵동 1산 237번지 144호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.61231644,127.074742
